x,y,z,results4,results5
0.51702451,3480.424648,13811.64437,1913.893571,1910.248355
0.51702451,3480.424648,13811.64437,1913.893571,1910.248355
0.51702451,3480.424648,13811.64437,1913.893571,1910.248355
0.51702451,3480.424648,13811.64437,1913.893571,1910.248355
-0.753337733,3480.938825,13814.68266,1912.952462,1915.38594
-0.290648016,3481.314511,13818.87809,1915.306916,1918.819119
-0.290648016,3481.314511,13818.87809,1915.306916,1918.819119
-0.290648016,3481.314511,13818.87809,1915.306916,1918.819119
-0.290648016,3481.314511,13818.87809,1915.306916,1918.819119
-0.290648016,3481.314511,13818.87809,1915.306916,1918.819119
-0.290648016,3481.314511,13818.87809,1915.306916,1918.819119
-0.290648016,3481.314511,13818.87809,1915.306916,1918.819119
-0.266736733,3481.494474,13818.75745,1915.335488,1918.641471
-0.238491825,3481.647134,13818.78463,1915.411522,1918.621901
-0.238491825,3481.647134,13818.78463,1915.411522,1918.621901
-0.238491825,3481.647134,13818.78463,1915.411522,1918.621901
-0.238491825,3481.647134,13818.78463,1915.411522,1918.621901
-0.238491825,3481.647134,13818.78463,1915.411522,1918.621901
-0.238491825,3481.647134,13818.78463,1915.411522,1918.621901
-0.238491825,3481.647134,13818.78463,1915.411522,1918.621901
-0.274870658,3481.638424,13818.09749,1915.101395,1917.953624
-0.265777218,3481.713514,13817.93644,1915.029528,1917.768189
-0.265777218,3481.713514,13817.93644,1915.029528,1917.768189
-0.265777218,3481.713514,13817.93644,1915.029528,1917.768189
-0.265777218,3481.713514,13817.93644,1915.029528,1917.768189
-0.265777218,3481.713514,13817.93644,1915.029528,1917.768189
-0.265777218,3481.713514,13817.93644,1915.029528,1917.768189
-0.265777218,3481.713514,13817.93644,1915.029528,1917.768189
-0.224331255,3481.762225,13818.49294,1915.265236,1918.304748
-0.18491135,3481.722524,13819.68856,1915.706215,1919.508834
-0.18491135,3481.722524,13819.68856,1915.706215,1919.508834
-0.18491135,3481.722524,13819.68856,1915.706215,1919.508834
-0.18491135,3481.722524,13819.68856,1915.706215,1919.508834
-0.18491135,3481.722524,13819.68856,1915.706215,1919.508834
-0.18491135,3481.722524,13819.68856,1915.706215,1919.508834
-0.18491135,3481.722524,13819.68856,1915.706215,1919.508834
-0.176631172,3481.717162,13819.95323,1915.817648,1919.802759
-0.170821376,3481.709992,13820.16918,1915.914801,1920.048412
-0.170821376,3481.709992,13820.16918,1915.914801,1920.048412
-0.170821376,3481.709992,13820.16918,1915.914801,1920.048412
-0.170821376,3481.709992,13820.16918,1915.914801,1920.048412
-0.170821376,3481.709992,13820.16918,1915.914801,1920.048412
-0.170821376,3481.709992,13820.16918,1915.914801,1920.048412
-0.170821376,3481.709992,13820.16918,1915.914801,1920.048412
-0.205078938,3481.678082,13819.12721,1915.550309,1919.036445
-0.260368247,3481.643761,13818.0045,1915.149292,1917.95748
-0.260368247,3481.643761,13818.0045,1915.149292,1917.95748
-0.260368247,3481.643761,13818.0045,1915.149292,1917.95748
-0.260368247,3481.643761,13818.0045,1915.149292,1917.95748
-0.260368247,3481.643761,13818.0045,1915.149292,1917.95748
-0.260368247,3481.643761,13818.0045,1915.149292,1917.95748
-0.260368247,3481.643761,13818.0045,1915.149292,1917.95748
-0.305555615,3481.447737,13817.84854,1915.028159,1917.868462
-0.328078375,3481.288172,13817.89755,1915.000814,1917.967792
-0.328078375,3481.288172,13817.89755,1915.000814,1917.967792
-0.328078375,3481.288172,13817.89755,1915.000814,1917.967792
-0.328078375,3481.288172,13817.89755,1915.000814,1917.967792
-0.328078375,3481.288172,13817.89755,1915.000814,1917.967792
-0.328078375,3481.288172,13817.89755,1915.000814,1917.967792
-0.328078375,3481.288172,13817.89755,1915.000814,1917.967792
