x0,y0,z0,Radius,Rsquare
3481.976514,19412,13811.05893,1914.561818,0.999931699
3481.925059,19413,13810.89673,1914.460245,0.999956444
3481.712104,19414,13811.23235,1914.722912,0.999947697
3481.712104,19415,13811.23235,1914.722912,0.999947697
3481.712104,19416,13811.23235,1914.722912,0.999947697
3481.712104,19417,13811.23235,1914.722912,0.999947697
3481.712104,19418,13811.23235,1914.722912,0.999947697
3481.712104,19419,13811.23235,1914.722912,0.999947697
3481.712104,19420,13811.23235,1914.722912,0.999947697
3481.777544,19421,13811.24735,1914.739754,0.999957493
3481.830234,19422,13811.75037,1915.11976,0.99995122
3481.830234,19423,13811.75037,1915.11976,0.99995122
3481.830234,19424,13811.75037,1915.11976,0.99995122
3481.830234,19425,13811.75037,1915.11976,0.99995122
3481.830234,19426,13811.75037,1915.11976,0.99995122
3481.830234,19427,13811.75037,1915.11976,0.99995122
3481.830234,19428,13811.75037,1915.11976,0.99995122
3481.558156,19429,13811.11226,1914.597799,0.99995478
3481.285686,19430,13810.47212,1914.075241,0.999909248
3481.285686,19431,13810.47212,1914.075241,0.999909248
3481.285686,19432,13810.47212,1914.075241,0.999909248
3481.285686,19433,13810.47212,1914.075241,0.999909248
3481.285686,19434,13810.47212,1914.075241,0.999909248
3481.285686,19435,13810.47212,1914.075241,0.999909248
3481.285686,19436,13810.47212,1914.075241,0.999909248
3481.650866,19437,13809.939,1913.648373,0.9999153
3482.017059,19438,13809.39843,1913.21711,0.999893321
3482.017059,19439,13809.39843,1913.21711,0.999893321
3482.017059,19440,13809.39843,1913.21711,0.999893321
3482.017059,19441,13809.39843,1913.21711,0.999893321
3482.017059,19442,13809.39843,1913.21711,0.999893321
3482.017059,19443,13809.39843,1913.21711,0.999893321
3482.017059,19444,13809.39843,1913.21711,0.999893321
3481.819518,19445,13809.50165,1913.30879,0.999908975
3481.745149,19446,13809.7606,1913.509823,0.999893145
3481.745149,19447,13809.7606,1913.509823,0.999893145
3481.745149,19448,13809.7606,1913.509823,0.999893145
3481.745149,19449,13809.7606,1913.509823,0.999893145
3481.745149,19450,13809.7606,1913.509823,0.999893145
3481.745149,19451,13809.7606,1913.509823,0.999893145
3481.745149,19452,13809.7606,1913.509823,0.999893145
3481.690009,19453,13809.39312,1913.27914,0.999885443
3481.313186,19454,13810.12519,1913.824842,0.999855625
3481.313186,19455,13810.12519,1913.824842,0.999855625
3481.313186,19456,13810.12519,1913.824842,0.999855625
3481.313186,19457,13810.12519,1913.824842,0.999855625
3481.313186,19458,13810.12519,1913.824842,0.999855625
3481.313186,19459,13810.12519,1913.824842,0.999855625
3481.313186,19460,13810.12519,1913.824842,0.999855625
3481.798094,19461,13810.94233,1914.533087,0.99992855
3482.224689,19462,13811.66808,1915.164364,0.999942282
3482.224689,19463,13811.66808,1915.164364,0.999942282
3482.224689,19464,13811.66808,1915.164364,0.999942282
3482.224689,19465,13811.66808,1915.164364,0.999942282
3482.224689,19466,13811.66808,1915.164364,0.999942282
3482.224689,19467,13811.66808,1915.164364,0.999942282
3482.224689,19468,13811.66808,1915.164364,0.999942282
3481.933241,19469,13811.57623,1915.085931,0.999951444
3480.844964,19470,13809.81983,1913.728853,0.999837124
3480.844964,19471,13809.81983,1913.728853,0.999837124
3480.844964,19472,13809.81983,1913.728853,0.999837124
3480.844964,19473,13809.81983,1913.728853,0.999837124
3480.844964,19474,13809.81983,1913.728853,0.999837124
3480.844964,19475,13809.81983,1913.728853,0.999837124
3480.844964,19476,13809.81983,1913.728853,0.999837124
3481.811491,19477,13810.538,1914.311772,0.999938727
3481.788674,19478,13810.42842,1914.211632,0.999933209
3481.788674,19479,13810.42842,1914.211632,0.999933209
3481.788674,19480,13810.42842,1914.211632,0.999933209
3481.788674,19481,13810.42842,1914.211632,0.999933209
3481.788674,19482,13810.42842,1914.211632,0.999933209
3481.788674,19483,13810.42842,1914.211632,0.999933209
3481.788674,19484,13810.42842,1914.211632,0.999933209
3481.759721,19485,13810.52972,1914.281062,0.999946173
3481.771168,19486,13810.74831,1914.436978,0.999933378
3481.771168,19487,13810.74831,1914.436978,0.999933378
3481.771168,19488,13810.74831,1914.436978,0.999933378
3481.771168,19489,13810.74831,1914.436978,0.999933378
3481.771168,19490,13810.74831,1914.436978,0.999933378
3481.771168,19491,13810.74831,1914.436978,0.999933378
3481.771168,19492,13810.74831,1914.436978,0.999933378
3481.64212,19493,13810.26284,1914.103875,0.999940405
3481.439852,19494,13810.01122,1913.942184,0.999902211
3481.439852,19495,13810.01122,1913.942184,0.999902211
3481.439852,19496,13810.01122,1913.942184,0.999902211
3481.439852,19497,13810.01122,1913.942184,0.999902211
3481.439852,19498,13810.01122,1913.942184,0.999902211
3481.439852,19499,13810.01122,1913.942184,0.999902211
3481.439852,19500,13810.01122,1913.942184,0.999902211
3481.486336,19501,13810.00626,1913.973476,0.999921899
3481.330317,19502,13810.68552,1914.500462,0.999878267
3481.330317,19503,13810.68552,1914.500462,0.999878267
3481.330317,19504,13810.68552,1914.500462,0.999878267
3481.330317,19505,13810.68552,1914.500462,0.999878267
3481.330317,19506,13810.68552,1914.500462,0.999878267
3481.330317,19507,13810.68552,1914.500462,0.999878267
3481.330317,19508,13810.68552,1914.500462,0.999878267
3481.344052,19509,13808.84324,1913.159968,0.999866741
3481.271571,19510,13808.65038,1913.027914,0.999762742
3481.271571,19511,13808.65038,1913.027914,0.999762742
3481.271571,19512,13808.65038,1913.027914,0.999762742
3481.271571,19513,13808.65038,1913.027914,0.999762742
3481.271571,19514,13808.65038,1913.027914,0.999762742
3481.271571,19515,13808.65038,1913.027914,0.999762742
3481.271571,19516,13808.65038,1913.027914,0.999762742
3481.701473,19517,13809.73126,1913.887247,0.999895657
3482.312461,19518,13810.36855,1914.405861,0.999942276
3482.312461,19519,13810.36855,1914.405861,0.999942276
3482.312461,19520,13810.36855,1914.405861,0.999942276
3482.312461,19521,13810.36855,1914.405861,0.999942276
3482.312461,19522,13810.36855,1914.405861,0.999942276
3482.312461,19523,13810.36855,1914.405861,0.999942276
3482.312461,19524,13810.36855,1914.405861,0.999942276
3482.213482,19525,13809.98308,1914.11628,0.999947961
3482.113835,19526,13809.59541,1913.825405,0.999926342
3482.113835,19527,13809.59541,1913.825405,0.999926342
3482.113835,19528,13809.59541,1913.825405,0.999926342
3482.113835,19529,13809.59541,1913.825405,0.999926342
3482.113835,19530,13809.59541,1913.825405,0.999926342
3482.113835,19531,13809.59541,1913.825405,0.999926342
3482.113835,19532,13809.59541,1913.825405,0.999926342
3482.42014,19533,13810.50913,1914.529111,0.999964134
3482.316417,19534,13810.32015,1914.385245,0.99995255
3482.316417,19535,13810.32015,1914.385245,0.99995255
3482.316417,19536,13810.32015,1914.385245,0.99995255
3482.316417,19537,13810.32015,1914.385245,0.99995255
3482.316417,19538,13810.32015,1914.385245,0.99995255
3482.316417,19539,13810.32015,1914.385245,0.99995255
3482.316417,19540,13810.32015,1914.385245,0.99995255
3482.370669,19541,13810.35096,1914.432549,0.999958326
3482.258849,19542,13811.01651,1914.949277,0.999948078
3482.258849,19543,13811.01651,1914.949277,0.999948078
3482.258849,19544,13811.01651,1914.949277,0.999948078
3482.258849,19545,13811.01651,1914.949277,0.999948078
3482.258849,19546,13811.01651,1914.949277,0.999948078
3482.258849,19547,13811.01651,1914.949277,0.999948078
3482.258849,19548,13811.01651,1914.949277,0.999948078
3482.245255,19549,13810.9672,1914.953307,0.999954842
3482.225888,19550,13810.90138,1914.945138,0.999950726
3482.225888,19551,13810.90138,1914.945138,0.999950726
3482.225888,19552,13810.90138,1914.945138,0.999950726
3482.225888,19553,13810.90138,1914.945138,0.999950726
3482.225888,19554,13810.90138,1914.945138,0.999950726
3482.225888,19555,13810.90138,1914.945138,0.999950726
3482.225888,19556,13810.90138,1914.945138,0.999950726
3481.932889,19557,13810.50696,1914.656073,0.999956781
3481.562636,19558,13810.54294,1914.649429,0.999908714
3481.562636,19559,13810.54294,1914.649429,0.999908714
3481.562636,19560,13810.54294,1914.649429,0.999908714
3481.562636,19561,13810.54294,1914.649429,0.999908714
3481.562636,19562,13810.54294,1914.649429,0.999908714
3481.562636,19563,13810.54294,1914.649429,0.999908714
3481.562636,19564,13810.54294,1914.649429,0.999908714
3481.449316,19565,13809.28001,1913.71709,0.999912603
3481.258783,19566,13808.45455,1913.072663,0.999840201
3481.258783,19567,13808.45455,1913.072663,0.999840201
3481.258783,19568,13808.45455,1913.072663,0.999840201
3481.258783,19569,13808.45455,1913.072663,0.999840201
3481.258783,19570,13808.45455,1913.072663,0.999840201
3481.258783,19571,13808.45455,1913.072663,0.999840201
3481.258783,19572,13808.45455,1913.072663,0.999840201
3481.65641,19573,13809.16474,1913.625116,0.999921804
3481.900359,19574,13811.35117,1915.125348,0.999859915
3481.900359,19575,13811.35117,1915.125348,0.999859915
